id,1890,1880,1870,1860,Name,ID
1001,1,4,5,3,Forbes Ave & Market Square,1001
1045,2,7,1,2,S 27th St & Sidney St. (Southside Works),1045
1010,3,1,9,5,10th St & Penn Ave (David L. Lawrence Convention Center),1010
1000,4,6,2,1,Liberty Ave & Stanwix St,1000
1017,5,2,8,4,21st St & Penn Ave,1017
1013,6,12,20,6,Isabella St & Federal St (PNC Park),1013
1012,7,14,11,7,North Shore Trail & Ft Duquesne Bridge,1012
1049,8,16,6,8,S 12th St & E Carson St,1049
1041,9,3,3,14,Fifth Ave & S Bouquet St,1041
1019,10,19,24,10,42nd St & Butler St,1019
1033,11,10,26,13,Ivy St & Walnut St,1033
1016,12,11,14,11,17th St & Penn Ave,1016
1048,13,18,17,9,S 18th St & Sidney St,1048
1018,14,30,31,15,37th St & Butler St,1018
1011,15,33,44,17,Fort Duquesne Blvd & 7th,1011
1036,16,9,10,19,Schenley Dr at Schenley Plaza (Carnegie Library Main),1036
1015,17,25,22,23,Federal St & E North Ave,1015
1004,18,17,19,22,First Ave & B St (T Station),1004
1006,19,20,23,25,Ross St & Sixth Ave (Steel Plaza T Station),1006
1046,20,38,34,24,S 25th St & E Carson St,1046
1005,21,37,30,31,Forbes Ave & Grant St,1005
1047,22,23,13,12,S 22nd St & E Carson St,1047
1009,23,28,42,29,12th St & Penn Ave,1009
1040,24,8,12,32,Bigelow Blvd & Fifth Ave,1040
1029,25,21,18,34,Alder St & S Higland Ave,1029
1002,26,34,36,30,Third Ave & Wood St,1002
1034,27,15,27,26,Ellsworth Ave & N Neville St,1034
1023,28,22,35,27,Liberty Ave & Baum Blvd,1023
1003,29,35,21,18,First Ave & Smithfield St (Art Institute),1003
1038,30,5,4,16,Boulevard of the Allies & Parkview Ave,1038
1007,31,29,37,43,Stevenson St & Forbes Ave,1007
1035,32,24,33,20,Fifth Ave & S Dithridge St,1035
1039,33,36,15,38,Atwood St & Bates,1039
1014,34,46,47,44,Ridge Ave & Brighton Rd (CCAC),1014
1021,35,32,38,42,Taylor St & Liberty Ave,1021
1032,36,31,41,39,Walnut St & College St,1032
1028,37,26,16,33,Penn Ave & Putnam St (Bakery Square),1028
1022,38,39,32,41,Liberty Ave & S Millvale (West Penn Hospital),1022
1020,39,27,25,28,42nd St & Penn Ave (Children's Hospital),1020
1024,40,43,28,36,S Negley Ave & Baum Blvd,1024
1044,41,45,29,35,Zulema St & Coltart Ave,1044
1031,42,42,39,45,Maryland Ave & Ellsworth Ave,1031
1026,43,40,43,37,Penn Ave & S Whitfield St,1026
1043,44,44,40,40,Coltart Ave & Forbes Ave,1043
1025,45,41,45,46,Penn Ave & N Fairmount St,1025
1008,46,48,46,47,Centre Ave & PPG Paints Arena,1008
1030,47,47,49,49,S Euclid Ave & Centre Ave,1030
1027,48,49,48,48,Shady Ave & Ellsworth Ave,1027
1037,49,13,7,21,Frew St & Schenley Dr,1037
1042,50,50,50,50,Centre Ave & Kirkpatrick St,1042
