name,color
10th St & Penn Ave,#86473F
21st St & Penn Ave,#994639
Fifth Ave & S Bouquet St,#DB8E71
Forbes Ave & Market Square,#B55D4C
Boulevard of the Allies & Parkview Ave,#FAD689
Liberty Ave & Stanwix St,#8E354A
S 27th St & Sidney St,#F8C3CD
Bigelow Blvd & Fifth Ave,#B47157
Schenley Dr at Schenley Plaza,#DAC9A6
Ivy St & Walnut St,#ECB88A
17th St & Penn Ave,#B54434
Isabella St & Federal St,#CB1B45
Frew St & Schenley Dr,#DCB879
North Shore Trail & Ft Duquesne Bridge,#9F353A
Ellsworth Ave & N Neville St,#D7B98E
S 12th St & E Carson St,#D05A6E
First Ave & B St,#B5495B
S 18th St & Sidney St,#F19483
42nd St & Butler St,#B55D4C
Ross St & Sixth Ave,#F8C3CD
Alder St & S Higland Ave,#F0A986
Liberty Ave & Baum Blvd,#E16B8C
S 22nd St & E Carson St,#D75455
Fifth Ave & S Dithridge St,#DDA52D
Federal St & E North Ave,#F17C67
Penn Ave & Putnam St,#FB966E
42nd St & Penn Ave,#F75C2F
12th St & Penn Ave,#9E7A7A
Stevenson St & Forbes Ave,#F596AA
37th St & Butler St,#CC543A
Walnut St & College St,#E98B2A
Taylor St & Liberty Ave,#B35C37
Fort Duquesne Blvd & 7th,#BF6766
Third Ave & Wood St,#B5495B
First Ave & Smithfield St,#D05A6E
Atwood St & Bates,#D9CD90
Forbes Ave & Grant St,#DC9FB4
S 25th St & E Carson St,#F19483
Liberty Ave & S Millvale,#F4A7B9
Penn Ave & S Whitfield St,#E87A90
Penn Ave & N Fairmount St,#EB7A77
Maryland Ave & Ellsworth Ave,#E1A679
S Negley Ave & Baum Blvd,#B5495B
Coltart Ave & Forbes Ave,#EEA9A9
Zulema St & Coltart Ave,#E87A90
Ridge Ave & Brighton Rd,#CB4042
S Euclid Ave & Centre Ave,#E3916E
Centre Ave & PPG Paints Arena,#D0104C
Shady Ave & Ellsworth Ave,#DC9FB4
Centre Ave & Kirkpatrick St,#FB966E
