Date,BikeCount,Weather Phenomena,,,day,rides,per day
20151001,356,Sunny,,sunny,34,6737,198
20151002,315,Rain,,mist,19,4193,221
20151003,191,Rain,,rain,36,5100,142
20151004,279,Sunny,,snow,3,177,59
20151005,279,Mist,,,,,
20151006,302,Mist,,,total rides,16207,
20151007,308,Mist,,,,,
20151008,326,Mist,,,,,
20151009,230,Rain,,,,,
20151010,401,Mist,,,,,
20151011,401,Mist,,,,,
20151012,293,Rain,,,,,
20151013,241,Rain,,,,,
20151014,250,Sunny,,,,,
20151015,293,Rain,,,,,
20151016,255,Sunny,,,,,
20151017,198,Sunny,,,,,
20151018,106,Sunny,,,,,
20151019,201,Sunny,,,,,
20151020,320,Sunny,,,,,
20151021,295,Sunny,,,,,
20151022,223,Rain,,,,,
20151023,280,Mist,,,,,
20151024,216,Rain,,,,,
20151025,173,Rain,,,,,
20151026,185,Mist,,,,,
20151027,181,Rain,,,,,
20151028,75,Rain,,,,,
20151029,205,Rain,,,,,
20151030,200,Sunny,,,,,
20151031,207,Sunny,,,,,
20151101,203,Rain,,,,,
20151102,199,Mist,,,,,
20151103,281,Sunny,,,,,
20151104,229,Mist,,,,,
20151105,235,Sunny,,,,,
20151106,185,Rain,,,,,
20151107,266,Sunny,,,,,
20151108,216,Sunny,,,,,
20151109,166,Rain,,,,,
20151110,59,Rain,,,,,
20151111,191,Mist,,,,,
20151112,139,Rain,,,,,
20151113,197,Sunny,,,,,
20151114,186,Sunny,,,,,
20151115,195,Sunny,,,,,
20151116,179,Sunny,,,,,
20151117,164,Sunny,,,,,
20151118,173,Rain,,,,,
20151119,221,Rain,,,,,
20151120,236,Sunny,,,,,
20151121,164,Rain,,,,,
20151122,47,Sunny,,,,,
20151123,100,Sunny,,,,,
20151124,120,Sunny,,,,,
20151125,121,Sunny,,,,,
20151126,108,Sunny,,,,,
20151127,198,Sunny,,,,,
20151128,30,Rain,,,,,
20151129,50,Rain,,,,,
20151130,87,Mist,,,,,
20151201,61,Rain,,,,,
20151202,82,Rain,,,,,
20151203,110,Sunny,,,,,
20151204,115,Sunny,,,,,
20151205,120,Mist,,,,,
20151206,120,Mist,,,,,
20151207,122,Mist,,,,,
20151208,99,Mist,,,,,
20151209,112,Rain,,,,,
20151210,141,Mist,,,,,
20151211,178,Mist,,,,,
20151212,653,Sunny,,,,,
20151213,225,Mist,,,,,
20151214,86,Rain,,,,,
20151215,147,Rain,,,,,
20151216,147,Sunny,,,,,
20151217,56,Rain,,,,,
20151218,65,Snow,,,,,
20151219,63,Snow,,,,,
20151220,62,Sunny,,,,,
20151221,72,Rain,,,,,
20151222,102,Rain,,,,,
20151223,84,Rain,,,,,
20151224,94,Rain,,,,,
20151225,42,Rain,,,,,
20151226,75,Rain,,,,,
20151227,26,Rain,,,,,
20151228,35,Rain,,,,,
20151229,59,Sunny,,,,,
20151230,75,Sunny,,,,,
20151231,49,Snow,,,,,
