YearMonthDay,BikeCount,Weather Phenomena,,,day,total rides,per day
20160101,30,Sunny,,Sunny,37,5988,162
20160102,22,Sunny,,Mist,7,397,57
20160103,31,Snow,,Rain,24,2277,95
20160104,33,Snow,,Snow,23,861,37
20160105,38,Sunny,,,,,
20160106,49,Mist,,,,,
20160107,80,Mist,,,total rides,9523,
20160108,41,Rain,,,,,
20160109,136,Rain,,,,,
20160110,21,Rain,,,,,
20160111,54,Sunny,,,,,
20160112,27,Snow,,,,,
20160113,18,Sunny,,,,,
20160114,49,Sunny,,,,,
20160115,71,Rain,,,,,
20160116,50,Rain,,,,,
20160117,25,Snow,,,,,
20160118,13,Snow,,,,,
20160119,29,Snow,,,,,
20160120,23,Snow,,,,,
20160121,36,Mist,,,,,
20160122,32,Snow,,,,,
20160123,9,Snow,,,,,
20160124,13,Mist,,,,,
20160125,40,Mist,,,,,
20160126,62,Rain,,,,,
20160127,77,Sunny,,,,,
20160128,72,Snow,,,,,
20160129,42,Snow,,,,,
20160130,112,Sunny,,,,,
20160131,281,Sunny,,,,,
20160201,84,Rain,,,,,
20160202,99,Sunny,,,,,
20160203,100,Rain,,,,,
20160204,93,Sunny,,,,,
20160205,59,Snow,,,,,
20160206,85,Sunny,,,,,
20160207,99,Sunny,,,,,
20160208,74,Rain,,,,,
20160209,28,Snow,,,,,
20160210,31,Snow,,,,,
20160211,36,Snow,,,,,
20160212,37,Snow,,,,,
20160213,12,Snow,,,,,
20160214,17,Sunny,,,,,
20160215,27,Rain,,,,,
20160216,37,Rain,,,,,
20160217,55,Snow,,,,,
20160218,48,Sunny,,,,,
20160219,79,Sunny,,,,,
20160220,436,Sunny,,,,,
20160221,194,Sunny,,,,,
20160222,116,Sunny,,,,,
20160223,109,Sunny,,,,,
20160224,75,Rain,,,,,
20160225,57,Rain,,,,,
20160226,52,Snow,,,,,
20160227,77,Sunny,,,,,
20160228,413,Sunny,,,,,
20160229,87,Rain,,,,,
20160301,140,Rain,,,,,
20160302,58,Snow,,,,,
20160303,66,Snow,,,,,
20160304,62,Snow,,,,,
20160305,54,Sunny,,,,,
20160306,68,Mist,,,,,
20160307,181,Sunny,,,,,
20160308,214,Sunny,,,,,
20160309,325,Sunny,,,,,
20160310,79,Rain,,,,,
20160311,143,Rain,,,,,
20160312,409,Sunny,,,,,
20160313,38,Rain,,,,,
20160314,208,Rain,,,,,
20160315,129,Rain,,,,,
20160316,236,Sunny,,,,,
20160317,154,Sunny,,,,,
20160318,198,Sunny,,,,,
20160319,67,Rain,,,,,
20160320,29,Snow,,,,,
20160321,72,Sunny,,,,,
20160322,41,Sunny,,,,,
20160323,265,Sunny,,,,,
20160324,236,Rain,,,,,
20160325,111,Mist,,,,,
20160326,393,Sunny,,,,,
20160327,502,Sunny,,,,,
20160328,104,Rain,,,,,
20160329,131,Sunny,,,,,
20160330,267,Sunny,,,,,
20160331,211,Rain,,,,,
