Date,BikeCount,Weather Phenomena,,,day,total rides,per day,,,,,,,,,
20160401,217,Rain,,Sunny,38,13746,362,,,,,,,,,
20160402,139,Rain,,Mist,5,1599,320,,,,,,,,,
20160403,89,Snow,,Rain,42,9394,224,,,,,,,,,
20160404,66,Rain,,Snow,3,226,75,,,,,,,,,
20160405,92,Sunny,,,,,,,,,,,,,,
20160406,170,Rain,,,,,,,,,,,,,,
20160407,85,Rain,,,total rides,24965,,,,,,,,,,
20160408,105,Snow,,,,,,,,,,,,,,
20160409,32,Snow,,,,,,,,,,,,,,
20160410,45,Rain,,,,,,,,,,,,,,
20160411,76,Rain,,,,,,,,,,,,,,
20160412,133,Sunny,,,,,,,,,,,,,,
20160413,214,Sunny,,,,,,,,,,,,,,avg
20160414,242,Sunny,,,,,,,40079,0.44,,498,198,162,362,305
20160415,333,Sunny,,,,,,,16207,0.18,,440,221,57,320,260
20160416,593,Sunny,,,,,,,9523,0.1,,353,142,95,224,204
20160417,707,Sunny,,,,,,,24965,0.28,,0,59,37,75,43
20160418,304,Sunny,,,,,,,,,,,,,,
20160419,261,Sunny,,,,,,,90074,,,,,,,
20160420,280,Sunny,,,,,,,,,,,,,,
20160421,191,Sunny,,,,,,,,,,,,,,
20160422,171,Rain,,,,,,,,,,,,,,
20160423,368,Mist,,,,,,,,,,,,,,
20160424,446,Sunny,,,,,,,,,,,,,,
20160425,290,Sunny,,,,,,,,,,,,,,
20160426,210,Rain,,,,,,,,,,,,,,
20160427,251,Sunny,,,,,,,,,,,,,,
20160428,90,Rain,,,,,,,,,,,,,,
20160429,180,Mist,,,,,,,,,,,,,,
20160430,-,Rain,,,,,,,,,,,,,,
20160501,353,Rain,,,,,,,,,,,,,,
20160502,267,Rain,,,,,,,,,,,,,,
20160503,296,Rain,,,,,,,,,,,,,,
20160504,202,Rain,,,,,,,,,,,,,,
20160505,149,Rain,,,,,,,,,,,,,,
20160506,238,Rain,,,,,,,,,,,,,,
20160507,313,Rain,,,,,,,,,,,,,,
20160508,346,Sunny,,,,,,,,,,,,,,
20160509,182,Rain,,,,,,,,,,,,,,
20160510,164,Rain,,,,,,,,,,,,,,
20160511,229,Rain,,,,,,,,,,,,,,
20160512,252,Rain,,,,,,,,,,,,,,
20160513,299,Rain,,,,,,,,,,,,,,
20160514,101,Rain,,,,,,,,,,,,,,
20160515,108,Rain,,,,,,,,,,,,,,
20160516,259,Sunny,,,,,,,,,,,,,,
20160517,212,Rain,,,,,,,,,,,,,,
20160518,214,Rain,,,,,,,,,,,,,,
20160519,281,Sunny,,,,,,,,,,,,,,
20160520,546,Rain,,,,,,,,,,,,,,
20160521,60,Rain,,,,,,,,,,,,,,
20160522,162,Rain,,,,,,,,,,,,,,
20160523,272,Mist,,,,,,,,,,,,,,
20160524,373,Sunny,,,,,,,,,,,,,,
20160525,341,Sunny,,,,,,,,,,,,,,
20160526,327,Sunny,,,,,,,,,,,,,,
20160527,335,Sunny,,,,,,,,,,,,,,
20160528,446,Sunny,,,,,,,,,,,,,,
20160529,643,Sunny,,,,,,,,,,,,,,
20160530,467,Mist,,,,,,,,,,,,,,
20160531,-,Sunny,,,,,,,,,,,,,,
20160601,322,Rain,,,,,,,,,,,,,,
20160602,216,Rain,,,,,,,,,,,,,,
20160603,321,Rain,,,,,,,,,,,,,,
20160604,395,Rain,,,,,,,,,,,,,,
20160605,218,Rain,,,,,,,,,,,,,,
20160606,258,Rain,,,,,,,,,,,,,,
20160607,390,Rain,,,,,,,,,,,,,,
20160608,292,Rain,,,,,,,,,,,,,,
20160609,422,Sunny,,,,,,,,,,,,,,
20160610,428,Sunny,,,,,,,,,,,,,,
20160611,441,Sunny,,,,,,,,,,,,,,
20160612,554,Sunny,,,,,,,,,,,,,,
20160613,301,Sunny,,,,,,,,,,,,,,
20160614,332,Sunny,,,,,,,,,,,,,,
20160615,427,Rain,,,,,,,,,,,,,,
20160616,155,Rain,,,,,,,,,,,,,,
20160617,329,Sunny,,,,,,,,,,,,,,
20160618,476,Sunny,,,,,,,,,,,,,,
20160619,372,Sunny,,,,,,,,,,,,,,
20160620,297,Sunny,,,,,,,,,,,,,,
20160621,310,Sunny,,,,,,,,,,,,,,
20160622,365,Rain,,,,,,,,,,,,,,
20160623,159,Rain,,,,,,,,,,,,,,
20160624,312,Mist,,,,,,,,,,,,,,
20160625,416,Sunny,,,,,,,,,,,,,,
20160626,676,Sunny,,,,,,,,,,,,,,
20160627,260,Rain,,,,,,,,,,,,,,
20160628,342,Sunny,,,,,,,,,,,,,,
20160629,362,Sunny,,,,,,,,,,,,,,
20160630,-,Sunny,,,,,,,,,,,,,,
