Date,BikeCount,Tavg
20150701,470,67
20150703,641,69
20150705,645,70
20150707,349,76
20150709,242,74
20150711,713,72
20150713,342,73
20150715,370,68
20150717,443,71
20150719,442,80
20150721,370,74
20150723,507,70
20150725,691,75
20150727,393,78
20150729,353,81
20150731,497,76
20150801,591,76
20150803,268,75
20150805,465,71
20150807,475,68
20150809,547,76
20150811,445,73
20150813,433,66
20150815,598,75
20150817,426,78
20150819,429,77
20150821,529,69
20150823,591,71
20150825,372,64
20150827,410,64
20150829,659,70
20150831,332,78
20150901,307,77
20150903,399,77
20150905,378,79
20150907,580,78
20150909,234,79
20150911,396,68
20150913,244,58
20150915,403,63
20150917,379,70
20150919,584,71
20150921,335,61
20150923,406,65
20150925,541,67
20150927,406,67
20150929,68,67
20151001,356,57
20151003,191,48
20151005,279,58
20151007,308,65
20151009,230,62
20151011,401,54
20151013,241,52
20151015,293,53
20151017,198,40
20151019,201,44
20151021,295,58
20151023,280,54
20151025,173,51
20151027,181,50
20151029,205,52
20151031,207,52
20151101,203,60
20151103,281,61
20151105,235,68
20151107,266,51
20151109,166,47
20151111,191,48
20151113,197,47
20151115,195,49
20151117,164,57
20151119,221,56
20151121,164,46
20151123,100,31
20151125,121,46
20151127,198,60
20151129,50,40
20151201,61,53
20151203,110,37
20151205,120,39
20151207,122,40
20151209,112,46
20151211,178,56
20151213,225,62
20151215,147,49
20151217,56,45
20151219,63,30
20151221,72,48
20151223,84,58
20151225,42,56
20151227,26,54
20151229,59,50
20151231,49,37
20160101,30,34
20160103,31,32
20160105,38,18
20160107,80,36
20160109,136,49
20160111,54,20
20160113,18,13
20160115,71,46
20160117,25,22
20160119,29,13
20160121,36,19
20160123,9,24
20160125,40,32
20160127,77,29
20160129,42,30
20160131,281,57
20160201,84,48
20160203,100,55
20160205,59,32
20160207,99,38
20160209,28,31
20160211,36,16
20160213,12,12
20160215,27,28
20160217,55,31
20160219,79,43
20160221,194,48
20160223,109,45
20160225,57,38
20160227,77,35
20160229,87,50
20160301,140,51
20160303,66,28
20160305,54,37
20160307,181,51
20160309,325,62
20160311,143,48
20160313,38,54
20160315,129,55
20160317,154,52
20160319,67,37
20160321,72,34
20160323,265,61
20160325,111,47
20160327,502,59
20160329,131,44
20160331,211,65
