day,hour,value
1,1,53
1,2,22
1,3,25
1,4,5
1,5,15
1,6,27
1,7,33
1,8,146
1,9,211
1,10,160
1,11,195
1,12,229
1,13,275
1,14,259
1,15,248
1,16,251
1,17,307
1,18,423
1,19,379
1,20,293
1,21,184
1,22,109
1,23,60
1,24,44
2,1,34
2,2,16
2,3,15
2,4,4
2,5,5
2,6,27
2,7,58
2,8,170
2,9,249
2,10,187
2,11,171
2,12,182
2,13,270
2,14,245
2,15,201
2,16,215
2,17,284
2,18,441
2,19,412
2,20,312
2,21,241
2,22,121
2,23,99
2,24,37
3,1,40
3,2,12
3,3,8
3,4,1
3,5,2
3,6,40
3,7,59
3,8,182
3,9,275
3,10,188
3,11,157
3,12,251
3,13,303
3,14,281
3,15,235
3,16,273
3,17,357
3,18,566
3,19,495
3,20,392
3,21,263
3,22,176
3,23,123
3,24,85
4,1,45
4,2,38
4,3,13
4,4,9
4,5,4
4,6,31
4,7,49
4,8,188
4,9,260
4,10,193
4,11,179
4,12,237
4,13,323
4,14,282
4,15,264
4,16,260
4,17,362
4,18,541
4,19,494
4,20,391
4,21,306
4,22,206
4,23,168
4,24,101
5,1,57
5,2,25
5,3,14
5,4,9
5,5,2
5,6,28
5,7,25
5,8,169
5,9,258
5,10,196
5,11,196
5,12,303
5,13,382
5,14,310
5,15,365
5,16,396
5,17,435
5,18,496
5,19,413
5,20,361
5,21,256
5,22,163
5,23,161
5,24,97
6,1,113
6,2,81
6,3,42
6,4,26
6,5,7
6,6,14
6,7,35
6,8,73
6,9,130
6,10,260
6,11,467
6,12,616
6,13,661
6,14,756
6,15,731
6,16,621
6,17,579
6,18,384
6,19,362
6,20,371
6,21,265
6,22,178
6,23,201
6,24,115
7,1,106
7,2,69
7,3,46
7,4,16
7,5,15
7,6,11
7,7,36
7,8,115
7,9,180
7,10,305
7,11,472
7,12,526
7,13,552
7,14,526
7,15,571
7,16,556
7,17,518
7,18,481
7,19,435
7,20,337
7,21,204
7,22,123
7,23,99
7,24,59
