country,year,percent
Monday,0-10,21
Monday,10-20,32
Monday,20-30,23
Monday,30-40,16
Monday,40-50,14
Monday,50-60,12
Monday,60-70,8
Monday,70-80,8
Monday,80-90,4
Monday,90+,28
Tuesday,0-10,22
Tuesday,10-20,34
Tuesday,20-30,25
Tuesday,30-40,14
Tuesday,40-50,11
Tuesday,50-60,9
Tuesday,60-70,6
Tuesday,70-80,6
Tuesday,80-90,4
Tuesday,90+,21
Wednesday,0-10,31
Wednesday,10-20,43
Wednesday,20-30,27
Wednesday,30-40,17
Wednesday,40-50,14
Wednesday,50-60,12
Wednesday,60-70,9
Wednesday,70-80,5
Wednesday,80-90,5
Wednesday,90+,26
Thursday,0-10,28
Thursday,10-20,42
Thursday,20-30,32
Thursday,30-40,20
Thursday,40-50,15
Thursday,50-60,13
Thursday,60-70,9
Thursday,70-80,7
Thursday,80-90,5
Thursday,90+,29
Friday,0-10,27
Friday,10-20,46
Friday,20-30,35
Friday,30-40,27
Friday,40-50,19
Friday,50-60,15
Friday,60-70,12
Friday,70-80,11
Friday,80-90,7
Friday,90+,35
Saturday,0-10,38
Saturday,10-20,62
Saturday,20-30,57
Saturday,30-40,44
Saturday,40-50,40
Saturday,50-60,34
Saturday,60-70,28
Saturday,70-80,20
Saturday,80-90,17
Saturday,90+,100
Sunday,0-10,36
Sunday,10-20,55
Sunday,20-30,46
Sunday,30-40,42
Sunday,40-50,36
Sunday,50-60,30
Sunday,60-70,23
Sunday,70-80,20
Sunday,80-90,16
Sunday,90+,78
