country,year,percent
Monday,10,50
Monday,20,51
Monday,30,23
Monday,40,6
Monday,50,3
Monday,60,2
Monday,70,0
Monday,80,0
Monday,90,0
Monday,100,2
Tuesday,10,55
Tuesday,20,61
Tuesday,30,22
Tuesday,40,5
Tuesday,50,3
Tuesday,60,2
Tuesday,70,0
Tuesday,80,0
Tuesday,90,0
Tuesday,100,3
Wednesday,10,65
Wednesday,20,69
Wednesday,30,26
Wednesday,40,6
Wednesday,50,4
Wednesday,60,3
Wednesday,70,1
Wednesday,80,0
Wednesday,90,0
Wednesday,100,4
Thursday,10,63
Thursday,20,72
Thursday,30,26
Thursday,40,6
Thursday,50,4
Thursday,60,3
Thursday,70,1
Thursday,80,0
Thursday,90,0
Thursday,100,3
Friday,10,54
Friday,20,67
Friday,30,22
Friday,40,6
Friday,50,4
Friday,60,2
Friday,70,1
Friday,80,1
Friday,90,0
Friday,100,3
Saturday,10,33
Saturday,20,36
Saturday,30,18
Saturday,40,7
Saturday,50,3
Saturday,60,2
Saturday,70,1
Saturday,80,1
Saturday,90,1
Saturday,100,4
Sunday,10,32
Sunday,20,35
Sunday,30,17
Sunday,40,6
Sunday,50,4
Sunday,60,2
Sunday,70,1
Sunday,80,1
Sunday,90,1
Sunday,100,8
